0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
2,1,530101,38.50,66,28,3,3,NaN,2,5,4,4,NaN,NaN,NaN,3,5,45.00,8.40,NaN,NaN,2,2,11300,0,0,2
1,1,534817,39.2,88,20,NaN,NaN,4,1,3,4,2,NaN,NaN,NaN,4,2,50,85,2,2,3,2,2208,0,0,2
2,1,530334,38.30,40,24,1,1,3,1,3,3,1,NaN,NaN,NaN,1,1,33.00,6.70,NaN,NaN,1,2,0,0,0,1
1,9,5290409,39.10,164,84,4,1,6,2,2,4,4,1,2,5.00,3,NaN,48.00,7.20,3,5.30,2,1,2208,0,0,1
2,1,530255,37.30,104,35,NaN,NaN,6,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,74.00,7.40,NaN,NaN,2,2,4300,0,0,2
2,1,528355,NaN,NaN,NaN,2,1,3,1,2,3,2,2,1,NaN,3,3,NaN,NaN,NaN,NaN,1,2,0,0,0,2
1,1,526802,37.90,48,16,1,1,1,1,3,3,3,1,1,NaN,3,5,37.00,7.00,NaN,NaN,1,1,3124,0,0,2
1,1,529607,NaN,60,NaN,3,NaN,NaN,1,NaN,4,2,2,1,NaN,3,4,44.00,8.30,NaN,NaN,2,1,2208,0,0,2
2,1,530051,NaN,80,36,3,4,3,1,4,4,4,2,1,NaN,3,5,38.00,6.20,NaN,NaN,3,1,3205,0,0,2
2,9,5299629,38.30,90,NaN,1,NaN,1,1,5,3,1,2,1,NaN,3,NaN,40.00,6.20,1,2.20,1,2,0,0,0,1
1,1,528548,38.10,66,12,3,3,5,1,3,3,1,2,1,3.00,2,5,44.00,6.00,2,3.60,1,1,2124,0,0,1
2,1,527927,39.10,72,52,2,NaN,2,1,2,1,2,1,1,NaN,4,4,50.00,7.80,NaN,NaN,1,1,2111,0,0,2
1,1,528031,37.20,42,12,2,1,1,1,3,3,3,3,1,NaN,4,5,NaN,7.00,NaN,NaN,1,2,4124,0,0,2
2,9,5291329,38.00,92,28,1,1,2,1,1,3,2,3,NaN,7.20,1,1,37.00,6.10,1,NaN,2,2,0,0,0,1
1,1,534917,38.2,76,28,3,1,1,1,3,4,1,2,2,NaN,4,4,46,81,1,2,1,1,2112,0,0,2
1,1,530233,37.60,96,48,3,1,4,1,5,3,3,2,3,4.50,4,NaN,45.00,6.80,NaN,NaN,2,1,3207,0,0,2
1,9,5301219,NaN,128,36,3,3,4,2,4,4,3,3,NaN,NaN,4,5,53.00,7.80,3,4.70,2,2,1400,0,0,1
2,1,526639,37.50,48,24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0,0,0,2
1,1,5290481,37.60,64,21,1,1,2,1,2,3,1,1,1,NaN,2,5,40.00,7.00,1,NaN,1,1,4205,0,0,1
2,1,532110,39.4,110,35,4,3,6,NaN,NaN,3,3,NaN,NaN,NaN,NaN,NaN,55,8.7,NaN,NaN,1,2,0,0,0,2
1,1,530157,39.90,72,60,1,1,5,2,5,4,4,3,1,NaN,4,4,46.00,6.10,2,NaN,1,1,2111,0,0,2
2,1,529340,38.40,48,16,1,NaN,1,1,1,3,1,2,3,5.50,4,3,49.00,6.80,NaN,NaN,1,2,0,0,0,2
1,1,521681,38.60,42,34,2,1,4,NaN,2,3,1,NaN,NaN,NaN,1,NaN,48.00,7.20,NaN,NaN,1,1,3111,0,0,2
1,9,534998,38.3,130,60,NaN,3,NaN,1,2,4,NaN,NaN,NaN,NaN,NaN,NaN,50,70,NaN,NaN,1,1,3111,0,0,2
1,1,533692,38.1,60,12,3,3,3,1,NaN,4,3,3,2,2,NaN,NaN,51,65,NaN,NaN,1,1,3111,0,0,2
2,1,529518,37.80,60,42,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,0,0,0,2
1,1,530526,38.30,72,30,4,3,3,2,3,3,3,2,1,NaN,3,5,43.00,7.00,2,3.90,1,1,3111,0,0,1
1,1,528653,37.80,48,12,3,1,1,1,NaN,3,2,1,1,NaN,1,3,37.00,5.50,2,1.30,1,2,4122,0,0,1
1,1,5279442,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,2,4300,0,0,2
2,1,535415,37.7,48,NaN,2,1,1,1,1,1,1,1,1,NaN,NaN,NaN,45,76,NaN,NaN,1,2,0,0,0,2
2,1,529475,37.70,96,30,3,3,4,2,5,4,4,3,2,4.00,4,5,66.00,7.50,NaN,NaN,2,1,4205,0,0,2
2,1,530242,37.20,108,12,3,3,4,2,2,4,2,NaN,3,6.00,3,3,52.00,8.20,3,7.40,3,1,2207,0,0,1
1,1,529427,37.20,60,NaN,2,1,1,1,3,3,3,2,1,NaN,4,5,43.00,6.60,NaN,NaN,1,1,2209,0,0,2
1,1,529663,38.20,64,28,1,1,1,1,3,1,NaN,NaN,NaN,NaN,4,4,49.00,8.60,2,6.60,1,1,2208,0,0,1
1,1,529796,NaN,100,30,3,3,4,2,5,4,4,3,3,NaN,4,4,52.00,6.60,NaN,NaN,1,1,1124,0,0,2
2,1,528812,NaN,104,24,4,3,3,2,4,4,3,NaN,3,NaN,NaN,2,73.00,8.40,NaN,NaN,3,1,7111,0,0,2
2,1,529493,38.30,112,16,NaN,3,5,2,NaN,NaN,1,1,2,NaN,NaN,5,51.00,6.00,2,1.00,3,2,5205,0,0,1
1,1,533847,37.8,72,NaN,NaN,3,NaN,1,5,3,1,NaN,1,NaN,1,1,56,80,1,2,1,1,3111,0,0,2
2,1,528996,38.60,52,NaN,1,1,1,1,3,3,2,1,1,NaN,1,3,32.00,6.60,1,5.00,1,2,0,0,0,1
1,9,5277409,39.20,146,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,2113,0,0,2
1,1,529498,NaN,88,NaN,3,3,6,2,5,3,3,1,3,NaN,4,5,63.00,6.50,3,NaN,2,1,4205,0,0,2
2,9,5288249,39.00,150,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.00,8.50,NaN,0.10,1,1,9400,0,0,1
2,1,530301,38.00,60,12,3,1,3,1,3,3,1,1,1,NaN,2,2,47.00,7.00,NaN,NaN,1,2,3111,0,0,2
1,1,534069,NaN,120,NaN,3,4,4,1,4,4,4,1,1,NaN,NaN,5,52,67,2,2,3,1,3205,0,0,2
1,1,535407,35.4,140,24,3,3,4,2,4,4,NaN,2,1,NaN,NaN,5,57,69,3,2,3,1,3205,0,0,2
2,1,529827,NaN,120,NaN,4,3,4,2,5,4,4,1,1,NaN,4,5,60.00,6.50,3,NaN,2,1,3205,0,0,2
1,1,529888,37.90,60,15,3,NaN,4,2,5,4,4,2,2,NaN,4,5,65.00,7.50,NaN,NaN,1,1,2305,0,0,1
2,1,529821,37.50,48,16,1,1,1,1,1,1,1,1,1,NaN,1,NaN,37.00,6.50,NaN,NaN,1,2,0,0,0,2
1,1,528890,38.90,80,44,3,3,3,2,2,3,3,2,2,7.00,3,1,54.00,6.50,3,NaN,2,1,7111,0,0,2
2,1,529642,37.20,84,48,3,3,5,2,4,1,2,1,2,NaN,2,1,73.00,5.50,2,4.10,2,2,4300,0,0,1
2,1,529766,38.60,46,NaN,1,1,2,1,1,3,2,1,1,NaN,NaN,2,49.00,9.10,1,1.60,1,2,3111,0,0,1
1,1,527706,37.40,84,36,1,NaN,3,2,3,3,2,NaN,NaN,NaN,4,5,NaN,NaN,3,NaN,2,1,7209,0,0,1
2,1,529483,NaN,NaN,NaN,1,1,3,1,1,3,1,NaN,NaN,NaN,2,2,43.00,7.70,NaN,NaN,1,2,3111,0,0,2
2,1,530544,38.60,40,20,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.00,6.40,NaN,NaN,1,2,3111,0,0,1
2,1,529461,40.30,114,36,3,3,1,2,2,3,3,2,1,7.00,1,5,57.00,8.10,3,4.50,3,1,7400,0,0,1
1,9,5282839,38.60,160,20,3,NaN,5,1,3,3,4,3,NaN,NaN,4,NaN,38.00,NaN,2,NaN,2,1,7111,0,0,1
1,1,528872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.00,6.70,NaN,NaN,1,1,3112,0,0,2
1,1,529640,NaN,64,36,2,NaN,2,1,5,3,3,2,2,NaN,NaN,NaN,42.00,7.70,NaN,NaN,2,1,3209,0,0,2
1,1,528298,NaN,NaN,20,4,3,3,NaN,5,4,3,2,NaN,NaN,4,4,53.00,5.90,3,NaN,2,1,3205,0,0,1
2,1,528904,NaN,96,NaN,3,3,3,2,5,4,4,1,2,NaN,4,5,60.00,NaN,NaN,NaN,2,1,4205,0,0,2
2,1,530438,37.80,48,32,1,1,3,1,2,1,NaN,1,1,NaN,4,5,37.00,6.70,NaN,NaN,1,2,2124,0,0,2
2,1,527957,38.50,60,NaN,2,2,1,1,1,2,2,2,1,NaN,1,1,44.00,7.70,NaN,NaN,1,2,0,0,0,2
1,1,528630,37.80,88,22,2,1,2,1,3,NaN,NaN,2,NaN,NaN,4,NaN,64.00,8.00,1,6.00,2,1,3205,0,0,1
2,1,534293,38.2,130,16,4,3,4,2,2,4,4,1,1,NaN,NaN,NaN,65,82,2,2,3,2,2209,1400,0,2
1,1,529667,39.00,64,36,3,1,4,2,3,3,2,1,2,7.00,4,5,44.00,7.50,3,5.00,1,1,2113,0,0,1
1,1,534885,NaN,60,36,3,1,3,1,3,3,2,1,1,NaN,3,4,26,72,2,1,1,1,2208,0,0,2
2,1,534784,37.9,72,NaN,1,1,5,2,3,3,1,1,3,2,3,4,58,74,1,2,1,1,2322,0,0,2
2,1,528931,38.40,54,24,1,1,1,1,1,3,1,2,1,NaN,3,2,49.00,7.20,1,NaN,1,2,3111,0,0,1
2,1,529777,NaN,52,16,1,NaN,3,1,NaN,NaN,NaN,2,3,5.50,NaN,NaN,55.00,7.20,NaN,NaN,1,2,2124,0,0,2
2,1,530276,38.00,48,12,1,1,1,1,1,3,NaN,1,1,NaN,3,2,42.00,6.30,2,4.10,1,2,3111,0,0,1
2,1,528214,37.00,60,20,3,NaN,NaN,1,3,NaN,3,2,2,4.50,4,4,43.00,7.60,NaN,NaN,3,1,2209,0,0,1
1,1,529424,37.80,48,28,1,1,1,1,1,2,1,2,NaN,NaN,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
1,1,5299253,37.70,56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,2113,0,0,2
1,1,528469,38.10,52,24,1,1,5,1,4,3,1,2,3,7.00,1,NaN,54.00,7.50,2,2.60,2,1,2112,0,0,1
1,9,5292929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.00,4.90,NaN,NaN,2,1,11124,0,0,2
1,9,534092,39.7,100,NaN,3,3,5,2,2,3,NaN,NaN,NaN,NaN,NaN,NaN,48,57,2,2,3,1,1400,0,0,2
1,1,534615,37.6,38,20,3,3,1,1,3,3,2,NaN,NaN,NaN,3,NaN,37,68,NaN,NaN,1,1,3205,0,0,2
2,1,534753,38.7,52,20,2,NaN,1,1,1,1,1,1,1,NaN,1,1,33,77,NaN,NaN,1,2,0,0,0,2
1,1,530693,NaN,NaN,NaN,3,3,3,3,5,3,3,3,2,NaN,4,5,46.00,5.90,NaN,NaN,2,1,3025,0,0,2
1,1,527463,37.50,96,18,1,3,6,2,3,4,2,2,3,5.00,NaN,4,69.00,8.90,3,NaN,1,1,2208,0,0,1
1,1,527518,36.40,98,35,3,3,4,1,4,3,2,NaN,NaN,NaN,4,4,47.00,6.40,3,3.60,2,1,2205,0,0,1
1,1,534756,37.3,40,NaN,NaN,3,1,1,2,3,2,3,1,NaN,3,5,36,NaN,3,2,1,1,3111,0,0,2
1,9,5290759,38.10,100,80,3,1,2,1,3,4,1,NaN,NaN,NaN,1,NaN,36.00,5.70,NaN,NaN,1,1,3111,0,0,2
1,1,5279822,38.00,NaN,24,3,3,6,2,5,NaN,4,1,1,NaN,NaN,NaN,68.00,7.80,NaN,NaN,2,1,3205,0,0,2
1,1,529849,37.80,60,80,1,3,2,2,2,3,3,NaN,2,5.50,4,NaN,40.00,4.50,2,NaN,1,1,5206,0,0,1
2,1,529304,38.00,54,30,2,3,3,3,3,1,2,2,2,NaN,NaN,4,45.00,6.20,NaN,NaN,1,2,400,0,0,2
1,1,529388,NaN,88,40,3,3,4,2,5,4,3,3,NaN,NaN,4,5,50.00,7.70,3,1.40,2,1,4205,0,0,1
2,1,528006,NaN,40,16,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.00,7.00,2,3.90,3,1,2208,0,0,1
2,1,529703,39.00,64,40,1,1,5,1,3,3,2,2,1,NaN,3,3,42.00,7.50,2,2.30,1,2,5000,0,0,1
2,1,535381,38.3,42,10,1,1,1,1,1,1,1,NaN,NaN,NaN,NaN,NaN,38,61,NaN,NaN,1,2,0,0,0,2
2,1,534197,38.0,52,16,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,3,1,1,1,53,86,NaN,NaN,1,1,2322,0,0,2
2,1,529461,40.30,114,36,3,3,1,2,2,3,3,2,1,7.00,1,5,57.00,8.10,3,4.50,2,1,3205,0,0,1
2,1,530251,38.80,50,20,3,1,1,1,1,1,1,2,1,NaN,3,1,42.00,6.20,NaN,NaN,1,2,0,0,0,2
2,1,530310,NaN,NaN,NaN,3,3,1,1,5,3,3,1,1,NaN,4,5,38.00,6.50,NaN,NaN,2,1,3205,0,0,2
2,1,528729,37.50,48,30,4,1,3,1,NaN,2,1,1,1,NaN,1,1,48.00,8.60,NaN,NaN,1,2,0,0,0,2
1,1,535158,37.3,48,20,NaN,1,2,1,3,3,3,2,1,NaN,3,5,41,69,NaN,NaN,1,1,3205,0,0,2
2,1,530319,NaN,84,36,NaN,NaN,3,1,NaN,3,1,2,1,NaN,3,2,44.00,8.50,NaN,NaN,1,1,3111,0,0,2
1,1,534145,38.1,88,32,3,3,4,1,2,3,3,NaN,3,1,4,5,55,60,NaN,NaN,3,2,3205,0,0,2
2,1,534135,37.7,44,40,2,1,3,1,1,3,2,1,1,NaN,1,5,41,60,NaN,NaN,1,2,0,0,0,2
2,1,530002,39.60,108,51,3,3,6,2,2,4,3,1,2,NaN,3,5,59.00,8.00,2,2.60,1,2,4300,0,0,1
1,1,535364,38.2,40,16,3,3,1,1,1,3,NaN,NaN,NaN,NaN,1,1,34,66,NaN,NaN,1,2,0,0,0,2
1,1,534899,NaN,60,20,4,3,4,2,5,4,NaN,NaN,1,NaN,4,5,NaN,NaN,NaN,NaN,3,1,3205,0,0,2
2,1,534938,38.3,40,16,3,NaN,1,1,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37,57,NaN,NaN,1,2,0,0,0,2
1,9,5292489,38.00,140,68,1,1,1,1,3,3,2,NaN,NaN,NaN,2,1,39.00,5.30,NaN,NaN,1,1,7111,0,0,2
1,1,527563,37.80,52,24,1,3,3,1,4,4,1,2,3,5.70,2,5,48.00,6.60,1,3.70,2,1,5400,0,0,2
1,1,530381,NaN,70,36,1,NaN,3,2,2,3,2,2,NaN,NaN,4,5,36.00,7.30,NaN,NaN,1,1,31110,0,0,2
1,1,528668,38.30,52,96,NaN,3,3,1,NaN,NaN,NaN,1,1,NaN,1,NaN,43.00,6.10,NaN,NaN,1,1,3209,0,0,1
2,1,529764,37.30,50,32,1,1,3,1,1,3,2,NaN,NaN,NaN,1,NaN,44.00,7.00,NaN,NaN,1,2,0,0,0,2
1,1,533696,38.7,60,32,4,3,2,2,4,4,4,NaN,NaN,NaN,4,5,53,64,3,2,3,1,3205,0,0,2
1,9,5297379,38.40,84,40,3,3,2,1,3,3,3,1,1,NaN,NaN,NaN,36.00,6.60,2,2.80,2,1,2205,0,0,1
1,1,527544,NaN,70,16,3,4,5,2,2,3,2,2,1,NaN,4,5,60.00,7.50,NaN,NaN,2,1,2112,0,0,2
1,1,533736,38.3,40,16,3,NaN,NaN,1,1,3,2,NaN,NaN,NaN,NaN,NaN,38,58,1,2,1,1,3111,7111,0,2
1,1,534963,NaN,40,NaN,2,1,1,1,1,3,1,1,1,NaN,NaN,5,39,56,NaN,NaN,1,1,3111,0,0,2
1,1,527933,36.80,60,28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.00,2,1,3205,0,0,1
1,1,532349,38.4,44,24,3,NaN,4,NaN,5,4,3,2,1,NaN,4,5,50,77,NaN,NaN,1,1,3205,0,0,2
2,1,533723,NaN,NaN,40,3,1,1,1,3,3,2,NaN,NaN,NaN,NaN,NaN,45,70,NaN,NaN,1,2,0,0,0,2
1,1,535208,38.0,44,12,1,1,1,1,3,3,3,2,1,NaN,4,5,42,65,NaN,NaN,1,1,3205,3111,0,2
2,1,5290482,39.50,NaN,NaN,3,3,4,2,3,4,3,NaN,3,5.50,4,5,NaN,6.70,1,NaN,3,1,4205,0,0,2
1,1,533983,36.5,78,30,1,NaN,1,1,5,3,1,NaN,1,NaN,NaN,NaN,34,75,2,1,1,1,3112,6112,0,2
2,1,535166,38.1,56,20,2,1,2,1,1,3,1,1,1,NaN,NaN,NaN,46,70,NaN,NaN,1,2,0,0,0,2
1,1,528682,39.40,54,66,1,1,2,1,2,3,2,1,1,NaN,3,4,39.00,6.00,2,NaN,1,1,2206,0,0,1
1,1,534556,38.3,80,40,NaN,NaN,6,2,4,3,1,NaN,2,NaN,1,4,67,10.2,2,1,3,1,2208,0,0,2
2,1,534579,38.7,40,28,2,1,1,1,3,1,1,NaN,NaN,NaN,1,NaN,39,62,1,1,1,2,0,0,0,2
1,1,530360,38.20,64,24,1,1,3,1,4,4,3,2,1,NaN,4,4,45.00,7.50,1,2.00,2,1,3205,0,0,1
2,1,529840,37.60,48,20,3,1,4,1,1,1,3,2,1,NaN,1,1,37.00,5.50,NaN,NaN,3,1,2205,0,0,2
1,1,528461,38.00,42,68,4,1,1,1,3,3,2,2,2,NaN,4,4,41.00,7.60,NaN,NaN,1,1,2205,0,0,2
1,1,530384,38.70,NaN,NaN,3,1,3,1,5,4,2,NaN,NaN,NaN,NaN,NaN,33.00,6.50,2,NaN,1,1,31110,0,0,2
1,1,5262541,37.40,50,32,3,3,NaN,1,4,4,1,2,1,NaN,1,NaN,45.00,7.90,2,1.00,1,1,2208,0,0,1
1,1,535330,37.4,84,20,NaN,NaN,3,1,2,3,3,NaN,NaN,NaN,NaN,NaN,31,61,NaN,1,3,2,2208,0,0,2
1,1,527698,38.40,49,NaN,NaN,NaN,1,1,NaN,NaN,1,2,1,NaN,NaN,NaN,44.00,7.60,NaN,NaN,1,1,2206,0,0,2
1,1,528964,37.80,30,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,1,2113,0,0,2
2,1,530670,37.60,88,36,3,1,1,1,3,3,2,1,3,1.50,NaN,NaN,44.00,6.00,NaN,NaN,2,1,1400,0,0,2
NaN,1,534572,38.0,48,20,3,1,3,1,4,3,1,2,1,NaN,3,5,43,73,2,1,NaN,1,3111,0,0,2
2,1,530294,37.90,40,24,1,1,1,1,2,3,1,NaN,NaN,NaN,NaN,3,40.00,5.70,NaN,NaN,1,1,400,0,0,2
1,1,527524,NaN,100,NaN,3,NaN,4,2,5,4,NaN,2,NaN,NaN,2,NaN,59.00,6.30,NaN,NaN,2,1,4205,0,0,2
1,9,5287179,38.10,136,48,3,3,3,1,5,1,3,2,2,4.40,2,NaN,33.00,4.90,2,2.90,2,1,2205,0,0,1
1,1,530693,NaN,NaN,NaN,3,3,3,2,5,3,3,3,2,NaN,4,5,46.00,5.90,NaN,NaN,2,1,3025,0,0,2
1,1,534324,38,48,NaN,1,1,1,1,1,2,4,2,2,NaN,4,5,NaN,NaN,NaN,NaN,1,1,3111,0,0,2
2,1,532349,38,56,NaN,1,2,3,1,1,1,1,1,1,NaN,1,1,42,71,NaN,NaN,1,2,0,0,0,2
2,1,534491,38,60,32,1,1,NaN,1,3,3,NaN,1,1,NaN,NaN,NaN,50,7.0,1,1,1,2,0,0,0,2
1,1,529960,38.10,44,9,3,1,1,1,2,2,1,1,1,NaN,4,5,31.00,7.30,NaN,NaN,1,2,5124,0,0,2
2,1,522979,36.00,42,30,NaN,NaN,5,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.00,6.80,NaN,NaN,2,2,1400,0,0,2
1,1,530402,NaN,120,NaN,4,3,6,2,5,4,4,NaN,NaN,NaN,4,5,57.00,4.50,3,3.90,2,1,3205,0,0,1
1,1,529424,37.80,48,28,1,1,1,2,1,2,1,2,NaN,NaN,1,1,46.00,5.90,2,7.00,1,2,0,0,0,1
1,1,534519,37.1,84,40,3,3,6,1,2,4,4,3,2,2,4,5,75,81,NaN,NaN,3,2,1400,0,0,2
2,1,535246,NaN,80,32,3,3,2,1,2,3,3,2,1,NaN,3,NaN,50,80,NaN,NaN,1,1,0,0,0,2
1,1,534115,38.2,48,NaN,1,3,3,1,3,4,4,1,3,2,4,5,42,71,NaN,NaN,1,1,3111,0,0,2
2,1,530001,38.00,44,12,2,1,3,1,3,4,3,1,2,6.50,1,4,33.00,6.50,NaN,NaN,2,1,2209,0,0,2
1,1,529272,38.30,132,NaN,NaN,3,6,2,2,4,2,2,3,6.20,4,4,57.00,8.00,NaN,5.20,1,1,2112,0,0,1
